City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jati,24.3539,68.2671,294.16,71,2,3.53,PK,1677462657
84,lakatoro,-16.0999,167.4164,303.2,73,100,5.48,VU,1677462657
85,tuatapere,-46.1333,167.6833,292.64,55,45,2.17,NZ,1677462658
86,jamestown,42.097,-79.2353,273.92,80,0,5.14,US,1677462371
87,bubaque,11.2833,-15.8333,296.97,65,3,8.93,GW,1677462658
88,nouakchott,18.0858,-15.9785,293.11,67,99,5.16,MR,1677462658
89,lecce,40.2167,18.1667,283.63,100,0,3.09,IT,1677462658
90,tautira,-17.7333,-149.15,301.1,74,74,5.72,PF,1677462659
91,quatre cocos,-20.2078,57.7625,297.09,81,6,1.64,MU,1677462659
92,taganak,6.0833,118.3,299.23,81,98,3.67,PH,1677462659
93,waarschoot,51.1533,3.6073,276.45,77,7,3.56,BE,1677462660
94,beringovskiy,63.05,179.3167,252.76,93,59,2.74,RU,1677462660
95,ihosy,-22.4,46.1167,292.84,93,100,2.23,MG,1677462660
96,pali,25.7667,73.3333,293.74,30,17,2.93,IN,1677462661
97,thompson,55.7435,-97.8558,260.24,72,100,1.03,CA,1677462661
98,castro,-24.7911,-50.0119,289.82,93,63,1.3,BR,1677462661
99,lianran,24.9227,102.485,286.77,68,6,2.0,CN,1677462662
100,mar del plata,-38.0023,-57.5575,290.42,68,0,1.54,AR,1677462662
101,jaque,7.5175,-78.1703,298.0,86,86,2.01,PA,1677462662
102,pevek,69.7008,170.3133,248.68,81,18,5.45,RU,1677462663
103,hohhot,40.8106,111.6522,276.31,70,40,2.0,CN,1677462663
104,nouadhibou,20.931,-17.0347,290.14,77,6,7.72,MR,1677462663
105,carnarvon,-24.8667,113.6333,300.15,66,93,5.63,AU,1677462664
106,saint george,37.1041,-113.5841,280.48,51,100,5.14,US,1677462664
107,busselton,-33.65,115.3333,301.31,38,12,3.04,AU,1677462664
108,sydney,-33.8679,151.2073,301.98,71,75,5.66,AU,1677462505
109,derby,52.9228,-1.4766,277.33,84,75,3.6,GB,1677462665
110,la asuncion,11.0333,-63.8628,298.0,78,2,4.12,VE,1677462665
111,abu dhabi,24.4667,54.3667,298.12,57,0,1.03,AE,1677462665
112,iquique,-20.2208,-70.1431,294.17,81,40,0.2,CL,1677462666
113,bilibino,68.0546,166.4372,243.18,93,37,0.6,RU,1677462666
114,yulara,-25.2406,130.9889,306.55,23,55,6.42,AU,1677462667
115,bakchar,57.0186,82.0711,260.82,98,90,1.7,RU,1677462667
116,grindavik,63.8424,-22.4338,281.12,93,75,10.8,IS,1677462667
117,qaqortoq,60.7167,-46.0333,269.0,89,100,0.39,GL,1677462668
118,obo,5.3998,26.4869,298.96,48,100,1.58,CF,1677462668
119,albanel,48.8832,-72.4487,260.23,85,99,3.6,CA,1677462669
120,mildura,-34.2,142.15,297.63,49,6,4.32,AU,1677462661
121,san luis,-33.295,-66.3356,293.19,24,8,5.2,AR,1677462669
122,karratha,-20.7377,116.8463,305.03,51,11,0.77,AU,1677462669
123,ray,23.6833,85.05,290.58,22,19,0.49,IN,1677462578
124,albany,42.6001,-73.9662,274.02,76,53,0.45,US,1677462495
125,sorland,67.667,12.6934,277.07,88,89,11.11,NO,1677462670
126,unity,52.4501,-109.1682,260.51,98,96,1.43,CA,1677462490
127,ulaangom,49.9811,92.0667,256.14,86,96,0.53,MN,1677462670
128,hasaki,35.7333,140.8333,285.53,36,0,1.15,JP,1677462671
129,dargaville,-35.9333,173.8833,293.42,84,40,2.35,NZ,1677462671
130,ribeira grande,38.5167,-28.7,286.91,66,65,7.6,PT,1677462672
131,zhuhai,22.2769,113.5678,290.85,55,0,3.6,CN,1677462672
132,jalu,29.0331,21.5482,294.83,13,97,8.92,LY,1677462672
133,fortuna,40.5982,-124.1573,281.34,75,0,0.0,US,1677462408
134,tasiilaq,65.6145,-37.6368,271.24,95,100,8.98,GL,1677462673
135,bethel,41.3712,-73.414,274.78,85,0,0.0,US,1677462673
136,cabo san lucas,22.8909,-109.9124,294.55,76,100,2.06,MX,1677462383
137,petatlan,17.5167,-101.2667,296.85,80,5,1.18,MX,1677462673
138,saint-philippe,-21.3585,55.7679,296.92,81,0,2.03,RE,1677462674
139,ancud,-41.8697,-73.8203,284.77,89,46,1.48,CL,1677462674
140,kambove,-10.8764,26.5969,289.22,94,100,1.28,CD,1677462674
141,hithadhoo,-0.6,73.0833,300.67,77,36,3.07,MV,1677462675
142,chicama,-7.8447,-79.1469,295.45,72,100,2.57,PE,1677462675
143,cam ranh,11.9214,109.1591,297.13,78,75,8.23,VN,1677462675
144,faya,18.3851,42.4509,287.21,64,4,0.56,SA,1677462676
145,kungurtug,50.5994,97.5228,255.79,93,76,0.58,RU,1677462676
146,sur,22.5667,59.5289,296.74,52,0,1.14,OM,1677462676
147,bandarbeyla,9.4942,50.8122,297.86,74,100,5.61,SO,1677462677
148,tadine,-21.55,167.8833,299.53,79,76,7.62,NC,1677462677
149,yadgir,16.7667,77.1333,294.69,46,0,2.66,IN,1677462678
150,iralaya,15.0,-83.2333,297.46,83,15,4.99,HN,1677462678
151,upernavik,72.7868,-56.1549,249.36,100,61,2.55,GL,1677462678
152,huarmey,-10.0681,-78.1522,296.35,80,100,2.46,PE,1677462679
153,pochutla,15.7432,-96.4661,297.05,77,2,1.83,MX,1677462679
